날짜(월별),처리건수(천건),처리금액(십억원)
04-Mar,"37,589.00","16,528.80"
04-Apr,"36,872.50","16,096.70"
04-May,"37,588.60","15,532.20"
04-Jun,"36,500.70","15,454.40"
04-Jul,"37,221.80","15,598.10"
04-Aug,"36,157.60","15,094.20"
04-Sep,"34,630.30","14,845.50"
04-Oct,"35,636.60","14,904.90"
04-Nov,"35,377.40","15,333.10"
04-Dec,"37,132.30","16,446.80"
05-Jan,"34,065.80","14,906.10"
05-Feb,"30,751.10","14,531.60"
05-Mar,"37,164.80","16,740.70"
05-Apr,"36,433.10","16,070.40"
05-May,"38,519.10","16,939.50"
05-Jun,"37,079.00","16,657.50"
05-Jul,"37,815.60","16,943.20"
05-Aug,"38,135.20","17,424.40"
05-Sep,"37,377.90","17,499.40"
05-Oct,"38,592.00","17,307.40"
05-Nov,"37,767.20","17,712.30"
05-Dec,"39,369.80","19,100.10"
06-Jan,"36,753.30","18,331.70"
06-Feb,"33,437.20","16,894.30"
06-Mar,"39,472.10","19,157.60"
06-Apr,"38,639.20","18,242.70"
06-May,"41,729.10","19,695.60"
06-Jun,"40,572.40","19,457.80"
06-Jul,"40,101.70","18,636.30"
06-Aug,"40,814.10","19,220.70"
06-Sep,"41,137.20","19,847.70"
06-Oct,"37,675.80","19,179.80"
06-Nov,"38,334.40","19,806.40"
06-Dec,"37,340.20","19,203.80"
07-Jan,"37,904.10","19,842.40"
07-Feb,"34,897.50","19,105.40"
07-Mar,"39,442.30","20,009.20"
07-Apr,"39,398.90","20,738.80"
07-May,"32,182.10","16,468.40"
07-Jun,"39,823.40","20,568.40"
07-Jul,"40,870.10","21,708.50"
07-Aug,"40,296.00","21,265.70"
07-Sep,"38,661.90","19,316.70"
07-Oct,"42,227.20","20,839.00"
07-Nov,"40,890.40","20,087.30"
07-Dec,"41,732.10","20,231.00"
08-Jan,"39,619.60","20,042.40"
08-Feb,"36,787.70","19,177.10"
08-Mar,"42,063.80","20,446.10"
08-Apr,"41,655.90","20,579.90"
08-May,"43,406.10","20,701.10"
08-Jun,"41,648.20","20,367.60"
08-Jul,"43,064.40","21,252.50"
08-Aug,"41,122.60","19,719.30"
08-Sep,"41,947.50","20,849.60"
08-Oct,"43,132.10","20,954.30"
08-Nov,"40,782.50","18,838.00"
08-Dec,"43,112.70","20,591.30"
09-Jan,"38,158.00","18,652.10"
09-Feb,"36,910.10","18,504.20"
09-Mar,"42,952.20","20,474.90"
09-Apr,"42,441.90","20,308.50"
09-May,"43,112.40","19,750.80"
09-Jun,"42,766.50","20,418.70"
09-Jul,"43,548.60","20,948.80"
09-Aug,"42,746.80","20,317.30"
09-Sep,"44,232.00","21,369.20"
09-Oct,"42,695.50","20,236.10"
09-Nov,"42,367.80","19,926.40"
09-Dec,"44,716.80","21,624.20"
10-Jan,"41,197.60","19,664.50"
10-Feb,"38,432.90","19,787.30"
10-Mar,"45,269.90","22,007.10"
10-Apr,"44,224.50","21,263.10"
10-May,"46,204.00","21,464.40"
10-Jun,"44,638.20","20,983.00"
10-Jul,"45,619.70","21,486.40"
10-Aug,"45,194.70","21,576.30"
10-Sep,"44,191.10","21,379.70"
10-Oct,"46,116.40","21,620.80"
10-Nov,"45,532.00","22,290.60"
10-Dec,"46,768.00","23,145.20"
11-Jan,"44,173.10","22,288.20"
11-Feb,"39,394.90","20,612.60"
11-Mar,"46,958.80","23,549.90"
11-Apr,"45,245.00","22,382.00"
11-May,"47,959.00","23,108.60"
11-Jun,"45,938.90","22,478.60"
11-Jul,"46,140.70","22,450.30"
11-Aug,"47,620.90","24,051.50"
11-Sep,"46,670.90","23,349.90"
11-Oct,"47,942.90","22,988.80"
11-Nov,"47,133.80","22,960.60"
11-Dec,"49,633.80","24,441.80"
12-Jan,"46,730.60","23,434.90"
12-Feb,"45,718.50","23,382.60"
12-Mar,"50,481.60","24,446.70"
12-Apr,"49,710.10","24,010.70"
12-May,"53,151.40","25,053.80"
12-Jun,"50,833.10","23,838.00"
12-Jul,"51,756.40","24,692.90"
12-Aug,"50,608.40","24,104.40"
12-Sep,"52,180.70","24,902.80"
12-Oct,"51,518.90","24,275.30"
12-Nov,"51,855.80","24,479.80"
12-Dec,"52,207.40","24,720.80"
13-Jan,"50,755.10","24,292.40"
13-Feb,"47,110.50","23,929.70"
13-Mar,"53,210.10","24,798.60"
13-Apr,"53,307.80","25,512.50"
13-May,"56,277.70","25,998.90"
13-Jun,"52,709.10","24,482.50"
13-Jul,"54,830.20","26,092.30"
13-Aug,"53,843.00","25,300.20"
13-Sep,"53,777.30","26,136.60"
13-Oct,"56,095.30","26,676.60"
13-Nov,"54,105.10","25,523.50"
13-Dec,"56,413.10","27,199.70"
14-Jan,"54,525.60","27,058.40"
14-Feb,"48,367.30","24,630.90"
14-Mar,"56,873.40","27,159.10"
14-Apr,"56,086.30","27,008.60"
14-May,"58,363.20","27,261.60"
14-Jun,"56,820.40","26,858.60"
14-Jul,"58,048.70","28,005.00"
14-Aug,"56,661.50","27,239.30"
14-Sep,"57,398.10","28,220.20"
14-Oct,"58,910.40","28,604.10"
14-Nov,"56,654.50","27,248.60"
14-Dec,"60,062.00","29,685.20"
15-Jan,"56,333.90","27,805.60"
15-Feb,"52,397.70","27,152.20"
15-Mar,"60,035.10","29,779.30"
15-Apr,"58,978.70","29,543.10"
15-May,"60,938.00","29,020.80"
15-Jun,"58,562.30","29,469.20"
15-Jul,"59,731.70","30,207.90"
15-Aug,"58,545.10","29,260.90"
15-Sep,"59,367.40","29,060.40"
15-Oct,"59,192.20","28,396.30"
15-Nov,"58,063.70","28,127.20"
15-Dec,"60,581.10","29,921.20"
16-Jan,"55,658.20","27,376.70"
16-Feb,"53,650.90","27,783.10"
16-Mar,"59,393.10","29,244.30"
16-Apr,"57,993.30","28,137.50"
16-May,"60,791.00","29,205.60"
16-Jun,"57,637.30","28,385.90"
16-Jul,"57,159.30","28,157.00"
16-Aug,"57,459.70","28,797.90"
16-Sep,"56,595.10","28,358.00"
16-Oct,"57,782.10","28,153.50"
16-Nov,"56,749.70","28,167.10"
16-Dec,"58,222.30","29,285.70"
17-Jan,"54,577.00","28,285.10"
17-Feb,"49,817.70","26,300.10"
17-Mar,"57,086.70","28,832.40"
17-Apr,"55,237.70","27,274.10"
17-May,"58,105.00","29,061.50"
17-Jun,"55,172.60","28,063.40"
17-Jul,"54,476.70","28,051.90"
17-Aug,"54,041.90","28,108.00"
17-Sep,"56,883.30","29,730.10"
17-Oct,"52,043.40","26,439.00"
17-Nov,"53,836.80","28,037.60"
17-Dec,"54,401.60","28,858.90"
18-Jan,"51,874.70","28,522.40"
18-Feb,"47,625.80","26,675.80"
18-Mar,"52,456.60","27,651.30"
18-Apr,"52,168.10","27,352.30"
18-May,"54,270.90","28,191.70"
18-Jun,"51,670.60","26,454.20"
18-Jul,"52,668.90","27,358.50"
18-Aug,"51,136.30","26,802.40"
18-Sep,"51,504.60","26,364.40"
18-Oct,"52,591.20","27,267.20"
18-Nov,"51,216.10","26,304.70"
18-Dec,"51,403.20","26,590.70"
19-Jan,"50,022.40","26,699.30"
19-Feb,"44,369.70","24,320.90"
19-Mar,"48,892.20","25,197.60"
19-Apr,"48,621.20","25,355.20"
19-May,"50,437.20","25,921.70"
19-Jun,"46,369.40","23,796.70"
19-Jul,"47,315.90","25,139.30"
19-Aug,"45,855.40","24,183.40"
19-Sep,"45,567.30","24,337.70"
19-Oct,"46,424.70","24,447.50"
19-Nov,"45,177.40","23,877.30"
19-Dec,"46,135.90","25,178.20"
20-Jan,"44,196.10","24,978.30"
20-Feb,"36,774.90","21,592.30"
20-Mar,"36,712.30","22,460.00"
20-Apr,"35,912.20","21,211.00"
20-May,"38,550.60","21,852.10"
20-Jun,"37,535.00","22,131.10"
20-Jul,"38,192.80","22,306.30"
20-Aug,"35,959.30","21,315.30"
20-Sep,"37,482.40","22,471.70"
20-Oct,"36,030.10","20,714.80"
20-Nov,"36,272.80","21,303.00"
20-Dec,"35,066.10","22,009.40"
21-Jan,"32,286.00","20,526.10"
21-Feb,"31,913.10","20,182.00"
21-Mar,"34,548.10","21,616.70"
21-Apr,"33,879.20","21,222.50"
21-May,"34,804.30","20,802.80"
21-Jun,"32,370.80","19,560.10"
21-Jul,"31,612.40","19,596.80"
21-Aug,"30,653.60","19,101.20"
21-Sep,"31,746.60","19,310.60"
21-Oct,"31,109.50","18,466.40"
21-Nov,"31,688.70","19,142.20"
21-Dec,"31,756.50","19,669.60"
22-Jan,"31,639.50","19,958.30"
22-Feb,"25,472.20","16,183.90"
22-Mar,"29,116.70","17,832.00"
22-Apr,"30,060.70","17,838.60"
22-May,"32,204.60","19,074.60"
22-Jun,"29,343.00","17,943.00"
