날짜(월별),처리건수(천건),처리금액(십억원)
Mar-18,10.7,251
Apr-18,11.1,172.8
May-18,11,182.4
Jun-18,10.2,314.2
Jul-18,11.4,326.2
Aug-18,10.7,146.6
Sep-18,9.5,171.7
Oct-18,11,227.9
Nov-18,10.4,152.8
Dec-18,10.3,239.1
Jan-19,11.5,118.6
Feb-19,9.2,128.2
Mar-19,9.4,185.7
Apr-19,10.8,204
May-19,10.6,146.6
Jun-19,9,172.3
Jul-19,10.8,232.1
Aug-19,9.3,170.1
Sep-19,9.6,205.4
Oct-19,9.6,155.6
Nov-19,9.5,134.4
Dec-19,10.2,190.9
Jan-20,9.8,131.1
Feb-20,8.1,107.3
Mar-20,8.2,115.1
Apr-20,8.1,134.2
May-20,8,100.1
Jun-20,8.5,100.6
Jul-20,8.6,113.2
Aug-20,7.7,86.6
Sep-20,8.3,104.5
Oct-20,7.5,109.5
Nov-20,7.8,151.1
Dec-20,8.4,154
Jan-21,7.3,103.8
Feb-21,7.2,122.1
Mar-21,8,104.4
Apr-21,7.2,83.5
May-21,6.8,82.5
Jun-21,7.1,75.3
Jul-21,7,68.4
Aug-21,6.6,75.2
Sep-21,6.6,81.5
Oct-21,6,88.5
Nov-21,6.5,147.2
Dec-21,6.9,167.2
Jan-22,6.5,113.3
Feb-22,5.5,86.6
Mar-22,5.9,78.6
Apr-22,5.9,110.9
May-22,6.4,109.6
Jun-22,5.9,79.2
